algorithm,seed,metric,value
MAPPO,0,avg_latency_ms,2755.85460387529
MAPPO,1,avg_latency_ms,1561.102110369106
MAPPO,2,avg_latency_ms,2716.6305247116916
MAPPO,3,avg_latency_ms,619.6268672649528
MAPPO,4,avg_latency_ms,1352.0111060743743
Greedy,0,avg_latency_ms,11061.597778509025
Greedy,1,avg_latency_ms,11055.256157130614
Greedy,2,avg_latency_ms,11052.960948491085
Greedy,3,avg_latency_ms,11058.383486117329
Greedy,4,avg_latency_ms,11052.396296889227
MAPPO,0,p99_latency_ms,4941.4650328863145
MAPPO,1,p99_latency_ms,2823.7473304692826
MAPPO,2,p99_latency_ms,4950.156429202307
MAPPO,3,p99_latency_ms,1100.208744029508
MAPPO,4,p99_latency_ms,2474.7692805898178
Greedy,0,p99_latency_ms,19785.91017421133
Greedy,1,p99_latency_ms,19784.731735761707
Greedy,2,p99_latency_ms,19786.58404146227
Greedy,3,p99_latency_ms,19786.95282769173
Greedy,4,p99_latency_ms,19788.42792630096
MAPPO,0,avg_energy_J,2.7528105357597883
MAPPO,1,avg_energy_J,3.0552216411090107
MAPPO,2,avg_energy_J,5.3172750389806405
MAPPO,3,avg_energy_J,2.004146008714473
MAPPO,4,avg_energy_J,1.9983979781514705
Greedy,0,avg_energy_J,2.7640505749794713
Greedy,1,avg_energy_J,2.7624648640843743
Greedy,2,avg_energy_J,2.76189087165247
Greedy,3,avg_energy_J,2.7632456558022147
Greedy,4,avg_energy_J,2.761748993076322
MAPPO,0,throughput_tps,0.0
MAPPO,1,throughput_tps,0.0
MAPPO,2,throughput_tps,0.0
MAPPO,3,throughput_tps,0.0
MAPPO,4,throughput_tps,0.0
Greedy,0,throughput_tps,0.0
Greedy,1,throughput_tps,0.0
Greedy,2,throughput_tps,0.0
Greedy,3,throughput_tps,0.0
Greedy,4,throughput_tps,0.0
MAPPO,0,load_balance_jain,0.49999999931382355
MAPPO,1,load_balance_jain,0.3999999994567074
MAPPO,2,load_balance_jain,0.699999999053296
MAPPO,3,load_balance_jain,0.1999999997255944
MAPPO,4,load_balance_jain,0.29999999959900425
Greedy,0,load_balance_jain,0.9999999986521396
Greedy,1,load_balance_jain,0.999999998650234
Greedy,2,load_balance_jain,0.9999999986509617
Greedy,3,load_balance_jain,0.9999999986539256
Greedy,4,load_balance_jain,0.999999998654687
